ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
1200  ,"ST-LAURENT, BOUL  ",K1K4H4,Ward 13,747,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit up in a 2 storey shopping centre (Unit 221 - Telus),0.0,180000.0,1517.71,2300277.0,Construction,2023-01-24 09:29:28
2210  ,BANK ST ,K1V1J5,Ward 10,4M-944,PT LOT 5,ONYX-FIRE PROTECTION SERVICES INC.,Retail,Old Ottawa,Replace fire alarm control panel and signaling devices in a 1 storey retail building (Walmart),0.0,31844.0,1.0,2300278.0,Construction,2023-01-24 09:37:10
191  ,LAURIER AVE W,K1P5M2,Ward 14,3922,49-50,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alteration on the 7th and 8th floors of a 19 storey office building,0.0,100000.0,538.2,2300279.0,Construction,2023-01-24 09:37:10
280  ,HERZBERG RD ,K2K0N8,Ward 4,4M-,,CONTRACTOR UNKNOWN,Apartment,Kanata,Interior alterations in a 4 storey apartment (Unit 402),0.0,1500.0,50.0,2300280.0,Construction,2023-01-24 10:25:59
812  ,AZURE ST ,K4A0T7,Ward 19,4M1421,11,CONTRACTOR UNKNOWN,Single,Cumberland,Finish the basement in a 2 storey detached dwelling,0.0,47492.34,1022.0,2300281.0,Construction,2023-01-24 11:15:59
8555  ,CAMPEAU DR ,K2T0K5,Ward 4,4M-,,ELDER JONES,Retail,West Carleton,Interior alterations of a 1 storey retail building (Unit 310 - Under Armour),0.0,500000.0,15700.0,2300282.0,Construction,2023-01-24 11:35:52
350  ,ALBERT ST ,K1P0B2,Ward 14,3922,LOT 26 PT LOTS 18;TO,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Tenant fit up on the 4th floor of a 21 storey office building (Suite 400, Office of the Commissioner of Indigenous Languages OCIL)",0.0,672000.0,4499.0,2300283.0,Construction,2023-01-24 11:59:43
510  ,YELLOW BIRCH ST ,K1W0J3,Ward 19,4M-1544,14,TREVI POOLS,Single,Gloucester,Install an enclosure for an inground pool (rear yard),0.0,0.0,0.0,2300285.0,Pool Enclosure,2023-01-24 13:01:15
908  ,OMAGAKI WAY ,K1X0J2,Ward 22,4M-1618,275,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: Newington 2021 M,1.0,574233.0,3434.0,2300286.0,Construction,2023-01-24 13:18:46
43  ,ROSEBERY AVE ,K1S1W1,Ward 17,71572,9,CONTRACTOR UNKNOWN,Single,Old Ottawa,Exterior/interior alterations to a 2 storey detached dwelling,0.0,60000.0,100.0,2300287.0,Construction,2023-01-24 13:53:32
740  ,"PETANQUE, CROIS DE LA  ",K4A5L7,Ward 19,4M-1313,2,EQ HOMES,Single,Cumberland,Construct a 2 storey detached dwelling,1.0,501105.52,2696.0,2300288.0,Construction,2023-01-24 14:06:40
18  ,FULTON AVE ,K1S4Y6,Ward 17,173,30,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to the basement of a 2 storey detached dwelling,0.0,15000.0,250.0,2300289.0,Construction,2023-01-24 14:16:36
5906  ,PINEGLADE CRES ,K1W1G3,Ward 19,4M-860,,LUMEN HOMES INC,Semi - Detached,Gloucester,Construct an addition at the rear of a 2 storey semi-detached dwelling,0.0,31168.54,167.69,2300290.0,Construction,2023-01-24 14:23:04
758  ,SHERBOURNE RD ,K2A3H5,Ward 7,M98,115,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement),1.0,65000.0,904.0,2300291.0,Construction,2023-01-24 14:52:50
86  ,HOULAHAN ST ,K2J3Y7,Ward 3,4M-668,,COPPERSTONE KITCHEN AND RENOVATIONS,Rowhouse,Nepean,Interior alterations in a 2 storey rowhouse (remove load-bearing wall in kitchen),0.0,40000.0,136.0,2300293.0,Construction,2023-01-24 15:10:03
500  ,PALLADIUM DR ,K2V1C2,Ward 23,4M-,1,CONTRACTOR UNKNOWN,Office,Kanata,Interior alterations in a 3 storey office building,0.0,758000.0,423.0,2300294.0,Construction,2023-01-24 15:15:45
1431  ,MERIVALE RD ,K2E0B9,Ward 9,30394,,CONTRACTOR UNKNOWN,Office,Nepean,Interior alterations on the 1st floor of a 3 storey office building (Install a fire alarm),0.0,2000.0,100.0,2300296.0,Construction,2023-01-24 15:45:33
2685  ,QUEENSVIEW DR ,K2B8K2,Ward 7,372212,306,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to a 2 storey office building (Unit 200),0.0,40000.0,215.0,2300297.0,Construction,2023-01-24 15:54:09
7960  ,IVESON DR ,K0A2P0,Ward 20,4M-923,35,***CONTRACTOR***,Detached Garage/Shed,Osgoode,Construct a garage (rear yard),0.0,25000.0,672.7,2300299.0,Construction,2023-01-25 08:49:42
50  ,RIDEAU ST ,K1N5W8,Ward 12,4M-,1-1067,DEHAAN DESIGN COMPANY INC.,Retail,Old Ottawa,Tenant fit up in a 4 storey retail building (Unit 376A - Athleta),0.0,450000.0,4370.150000000001,2300300.0,Construction,2023-01-25 09:09:25
